Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
FMAS_PN3,61.875,76.417,47.171,40.014,54.519,42.667,76.787,85.859,85.011,37.998,54.6,48.081,44.614,32.678,61.92,79.776,55.128,41.116,44.084,35.215,38.178,41.677,Autumnalis,2,Leptospira interrogans,85.859
FMAS_AP1,61.887,76.228,47.181,40.026,54.53,42.677,76.798,85.872,85.248,38.011,54.611,48.09,44.624,32.69,61.933,79.833,55.138,41.112,44.093,35.227,38.196,41.689,Autumnalis,2,Leptospira interrogans,85.872
FMAS_AP7,61.886,76.428,47.181,40.026,54.53,42.677,76.798,85.872,85.248,38.011,54.611,48.09,44.624,32.69,61.931,79.833,55.138,41.112,44.093,35.227,38.196,41.689,Autumnalis,2,Leptospira interrogans,85.872
202202775,34.697,37.418,44.638,49.776,45.869,41.576,37.502,40.564,41.843,38.327,45.429,43.016,39.962,37.95,35.511,40.659,44.995,40.815,50.207,38.993,85.97,76.906,Tarassovi,4,santarosai,85.97
AIM,35.015,35.775,44.544,52.083,45.762,41.574,37.924,37.826,41.489,37.056,45.377,43.088,40.067,37.11,36.513,39.722,44.478,40.742,48.102,38.961,86.004,77.755,Tarassovi,4,santarosai,86.004
VF237,29.563,32.014,32.538,32.539,39.589,32.166,32.628,34.472,36.08,82.624,38.927,32.64,35.771,80.994,32.353,34.978,39.354,32.681,41.022,86.083,51.921,38.548,Sejroe,3,Leptospira santarosai,86.083
202202044,29.452,32.742,32.394,32.666,39.451,32.556,32.847,34.489,35.987,82.589,38.962,32.565,35.719,81.086,32.18,35.158,39.213,32.681,41.133,86.086,52.241,39.169,Sejroe,3,santarosai,86.086
2015VF237,29.563,32.014,32.538,32.566,39.589,32.166,32.628,34.472,36.08,82.624,38.927,32.64,35.771,80.994,32.353,34.978,39.347,32.681,41.11,86.092,51.921,38.548,Sejroe,3,Leptospira santarosai,86.092
bajan,74.751,67.418,44.186,38.166,48.228,43.217,63.879,63.864,68.409,36.203,49.182,43.676,41.323,32.04,86.111,62.893,49.313,40.977,43.719,34.452,38.231,40.11,Australis,2,noguchii,86.111
202201149,60.913,75.376,49.3,36.672,50.316,43.445,86.172,77.381,84.001,35.377,49.903,50.021,44.336,35.813,58.393,79.678,49.716,41.693,47.884,38.917,37.851,44.512,Pomona,2,borgpetersenii,86.172
201900350,27.976,30.437,33.239,33.432,37.675,30.869,31.622,33.002,34.246,76.005,36.824,33.451,33.351,75.289,28.855,35.218,36.468,30.494,34.538,86.187,42.242,38.761,Sejroe,3,borgpetersenii,86.187
782,49.617,51.94,67.54,42.529,86.277,63.946,49.387,56.42,57.162,42.054,82.632,68.779,57.593,38.225,50.134,53.997,80.039,66.369,57.842,40.212,43.767,50.039,Canicola,1,interrogans,86.277
202202042,29.472,32.764,32.414,32.689,39.511,32.606,32.87,34.514,36.013,82.65,39.018,32.615,35.77,81.31,32.279,35.181,39.286,32.732,41.182,86.279,52.404,39.299,Sejroe,3,santarosai,86.279
201600669,33.035,35.232,37.734,34.938,42.367,34.794,36.449,38.237,39.489,80.578,41.911,38.635,38.069,85.027,34.45,40.125,41.659,34.553,38.546,86.378,43.183,43.948,Mini,3,borgpetersenii,86.378
201102933,75.406,67.236,44.717,38.816,48.843,43.67,64.471,64.464,68.937,36.436,49.766,43.97,41.809,32.022,86.616,63.513,49.566,41.551,44.518,34.812,39.145,40.48,Panama,2,noguchii,86.616
56659,44.342,52.364,70.126,39.374,73.775,75.823,53.36,56.147,58.857,47.515,73.409,74.049,86.685,46.034,47.761,54.659,77.337,63.173,73.077,46.354,46.292,51.425,Manhao,1,Leptospira alexanderi,86.685
201401473,31.616,33.697,36.565,33.109,40.921,33.635,34.887,36.44,37.74,80.544,40.529,37.39,36.785,85.878,32.775,38.536,40.108,33.235,37.119,86.888,39.866,42.936,Mini,3,borgpetersenii,86.888
CR2921,35.522,36.846,45.501,57.468,46.503,39.967,37.624,39.785,42.171,38.908,45.881,43.56,40.44,38.297,36.25,42.233,46.17,41.145,49.416,38.506,86.916,76.937,Tarassovi,4,santarosai,86.916
JICH05,35.794,36.8,45.384,57.733,46.451,39.956,37.817,39.728,42.119,38.827,45.819,43.455,40.401,38.311,36.284,42.262,46.083,41.059,49.287,38.601,86.921,76.81,Tarassovi,4,Leptospira santarosai,86.921
201600682,31.616,33.697,36.537,32.953,40.966,33.537,34.865,36.44,37.74,80.429,40.57,37.346,36.75,85.507,32.773,38.536,40.201,33.193,37.224,87.009,39.619,43.042,Mini,3,borgpetersenii,87.009
2014_VF66,28.942,31.687,32.708,32.822,39.958,31.877,32.967,34.818,35.96,83.56,39.291,32.823,36.103,81.814,32.778,35.198,39.018,32.577,40.962,87.055,53.022,38.169,Sejroe,3,Leptospira santarosai,87.055
RedPanda1,61.458,72.669,47.488,38.925,51.701,39.886,82.565,79.125,87.103,35.42,49.565,46.092,44.199,31.301,59.259,70.786,49.962,42.648,42.271,33.891,37.742,40.177,Grippotyphosa,2,Leptospira kirschneri,87.103
202200045,35.707,37.502,45.404,58.592,46.457,40.695,38.251,39.738,42.148,38.794,45.82,43.471,40.289,38.34,36.016,42.377,45.969,41.038,49.558,38.444,87.234,77.587,Tarassovi,4,santarosai,87.234
PUO_1247,69.826,84.578,48.728,40.527,53.286,42.565,84.321,86.629,87.316,36.538,53.059,50.256,45.222,32.078,62.052,79.748,51.957,41.41,43.64,35.004,39.394,41.128,Autumnalis,2,kirschneri,87.316
2013_VF52,29.885,32.392,32.898,32.946,40.105,32.216,33.036,34.946,36.106,83.759,39.412,33.01,36.167,82.209,32.817,35.403,39.401,32.732,41.451,87.342,53.067,39.174,Sejroe,3,Leptospira santarosai,87.342
RM1,51.848,53.852,59.099,42.971,82.467,59.887,57.352,54.334,59.757,46.334,87.527,63.907,63.013,42.194,52.502,52.993,74.689,59.596,61.37,44.72,44.498,50.336,Icterohaemorrhagiae,1,Leptospira kirschneri serovar Sokoine str. RM1,87.527
201600678,33.337,35.73,38.282,34.941,42.688,34.925,37.016,38.812,40.112,81.621,42.218,38.963,38.071,86.726,34.998,40.373,41.884,34.876,38.721,87.617,43.292,44.946,Mini,3,borgpetersenii,87.617
168036,34.478,35.667,34.333,38.481,44.144,32.768,37.801,40.976,40.038,86.22,44.902,34.321,36.586,80.423,35.654,41.451,44.134,33.816,37.309,87.783,43.85,41,Sejroe,3,interrogans,87.783
U160,45.562,48.14,64.617,40.097,69.278,69.088,49.901,51.343,53.466,45.482,72.335,68.321,66.073,44.693,48.674,52.899,71.967,65.041,88.016,45.345,56.498,53.54,Sarmin,1,santarosai,88.016
D64,36.733,36.872,34.051,88.038,39.088,31.269,38.321,40.899,40.459,35.007,39.347,33.221,31.569,31.466,36.847,39.371,39.931,31.997,33.953,33.679,55.071,52.428,Bataviae,4,interrogans,88.038
CR0521,36.219,37.137,45.899,58.139,46.638,40.975,39.371,40.133,42.515,39.239,46.025,43.716,40.568,38.854,37.165,42.602,46.177,41.283,49.712,39.35,88.042,76.702,Tarassovi,4,santarosai,88.042
201000851,31.995,32.394,37.053,33.807,41.618,34.228,36.376,36.557,38.268,81.044,40.612,37.675,37.157,85.889,34.209,38.697,40.545,33.722,37.517,88.122,40.145,43.777,Mini,3,borgpetersenii,88.122
200701203,32.74,34.895,37.67,34.367,42.159,34.663,36.15,37.838,39.138,81.941,41.713,38.449,37.823,87.183,33.988,39.759,41.217,34.303,38.229,88.247,41.884,44.319,Mini,3,borgpetersenii,88.247
Fiocruz_LV237,45.554,50.507,56.178,37.919,85.12,53.741,50.454,54.613,54.504,41.988,88.295,60.889,59.68,37.545,46.156,52.441,76.866,53.842,60.032,39.3,37.84,44.36,Icterohaemorrhagiae,1,interrogans,88.295
Fiocruz_LV256,44.28,50.238,56.178,37.919,85.12,53.822,50.705,54.613,54.504,41.988,88.295,60.318,59.763,36.878,45.482,52.475,76.422,53.842,60.15,39.373,37.617,44.424,Icterohaemorrhagiae,1,interrogans,88.295
56655,32.101,33.891,36.501,35.505,43.077,37.981,37.733,38.616,40.066,88.299,41.955,36.45,39.856,86.618,35.242,38.824,42.088,35.927,39.649,82.366,46.089,40.684,Mini,3,Leptospira weilii,88.299
201400667,32.894,35.125,37.906,34.591,42.398,34.861,36.389,38.107,39.407,82.21,41.942,38.653,38.023,87.448,34.222,40.013,41.588,34.509,38.444,88.447,42.273,44.585,Mini,3,borgpetersenii,88.447
201501073,32.813,35.038,37.823,34.498,42.307,34.786,36.296,38.004,39.304,82.108,41.855,38.556,37.947,87.507,34.133,39.922,41.489,34.431,38.348,88.505,42.125,44.651,Mini,3,borgpetersenii,88.505
201101154,33.585,35.84,38.576,35.289,43.137,35.429,37.132,38.94,40.24,82.027,42.648,39.284,38.642,87.246,34.94,40.752,42.123,35.147,39.035,88.513,43.477,45.239,Mini,3,borgpetersenii,88.513
201600660,32.969,35.169,37.947,34.667,42.443,34.899,36.445,38.158,39.458,82.262,41.985,38.691,38.061,87.496,34.266,40.059,41.429,34.548,38.453,88.545,42.347,44.636,Mini,3,borgpetersenii,88.545
201501069,32.958,35.169,37.947,34.657,42.443,34.899,36.44,38.158,39.458,82.262,41.985,38.673,38.061,87.493,34.264,40.059,41.732,34.548,38.488,88.552,42.347,44.632,Mini,3,borgpetersenii,88.552
Szwajizak,36.231,37.753,36.831,38.525,46.388,36.366,39.507,43.202,41.749,88.614,46.552,36.629,38.519,86.876,37.777,44.6,46.126,35.513,39.549,83.964,44.159,43.635,Mini,3,interrogans,88.614
201102019,33.084,35.345,38.112,34.823,42.625,35.05,36.622,38.363,39.663,82.462,42.159,38.847,38.214,87.681,34.444,40.274,41.62,34.705,38.617,88.696,42.644,44.835,Mini,3,borgpetersenii,88.696
201600671,33.121,35.334,38.101,34.842,42.614,35.041,36.619,38.351,39.651,82.454,42.148,38.837,38.204,87.677,34.43,40.229,41.59,34.696,38.608,88.731,42.625,44.657,Mini,3,borgpetersenii,88.731
201501078,33.076,35.323,38.088,34.8,42.602,35.035,36.599,38.338,39.638,82.437,42.137,38.805,38.198,87.776,34.422,40.218,41.661,34.682,38.548,88.787,42.6,44.934,Mini,3,borgpetersenii,88.787
